gene_id,canonical_transcript
ENSG00000004846.12,ENST00000404938.2
ENSG00000005302.13,ENST00000312196.4
ENSG00000005339.8,ENST00000262367.5
ENSG00000005001.5,ENST00000161006.3
ENSG00000003400.10,ENST00000286186.6
ENSG00000004939.9,ENST00000262418.6
ENSG00000005448.12,ENST00000348227.4
ENSG00000000460.12,ENST00000286031.6
ENSG00000003249.9,ENST00000304733.3
ENSG00000004961.10,ENST00000321143.4
ENSG00000005007.8,ENST00000262803.5
ENSG00000002746.10,ENST00000395891.2
ENSG00000004660.10,ENST00000158166.5
ENSG00000003147.13,ENST00000402384.3
ENSG00000005022.5,ENST00000317881.8
ENSG00000005187.7,ENST00000289416.5
ENSG00000003436.10,ENST00000233156.3
ENSG00000004777.14,ENST00000314737.5
ENSG00000004142.7,ENST00000540200.1
ENSG00000005020.8,ENST00000345317.2
ENSG00000002079.8,ENST00000439784.1
ENSG00000002726.15,ENST00000493429.1
ENSG00000002586.13,ENST00000381192.3
ENSG00000002745.8,ENST00000222462.2
ENSG00000000457.9,ENST00000367772.4
ENSG00000001167.10,ENST00000341376.6
ENSG00000005073.5,ENST00000006015.3
ENSG00000001036.9,ENST00000002165.6
ENSG00000005189.15,ENST00000261377.6
ENSG00000004948.9,ENST00000359558.2
ENSG00000004864.9,ENST00000416240.2
ENSG00000001084.6,ENST00000229416.6
ENSG00000001630.11,ENST00000003100.8
ENSG00000004700.11,ENST00000444129.2
ENSG00000000005.5,ENST00000373031.4
ENSG00000000419.8,ENST00000371588.5
ENSG00000004799.7,ENST00000005178.5
ENSG00000005421.4,ENST00000222381.3
ENSG00000005238.15,ENST00000378561.1
ENSG00000005379.11,ENST00000343736.4
ENSG00000003509.11,ENST00000002125.4
ENSG00000004866.14,ENST00000265437.5
ENSG00000002016.12,ENST00000358495.3
ENSG00000004776.7,ENST00000592984.1
ENSG00000002822.11,ENST00000406869.1
ENSG00000005156.7,ENST00000378526.4
ENSG00000003989.12,ENST00000004531.10
ENSG00000004478.5,ENST00000001008.4
ENSG00000004848.6,ENST00000379044.4
ENSG00000005102.8,ENST00000318579.4
ENSG00000001460.13,ENST00000374409.1
ENSG00000005075.11,ENST00000292614.5
ENSG00000001631.10,ENST00000394507.1
ENSG00000006194.6,ENST00000219069.5
ENSG00000007306.10,ENST00000006724.3
ENSG00000007944.10,ENST00000356840.3
ENSG00000006016.6,ENST00000392386.3
ENSG00000006025.7,ENST00000007414.3
ENSG00000005700.10,ENST00000306270.7
ENSG00000006074.4,ENST00000004921.3
ENSG00000007384.11,ENST00000262316.6
ENSG00000005844.13,ENST00000356798.6
ENSG00000005486.12,ENST00000006777.6
ENSG00000005893.11,ENST00000434600.2
ENSG00000007402.7,ENST00000479441.1
ENSG00000006837.7,ENST00000265334.4
ENSG00000006059.3,ENST00000007735.3
ENSG00000005889.11,ENST00000379177.1
ENSG00000007392.12,ENST00000293872.8
ENSG00000005961.13,ENST00000262407.5
ENSG00000007038.6,ENST00000005995.3
ENSG00000007202.10,ENST00000528896.2
ENSG00000007372.16,ENST00000419022.1
ENSG00000006757.7,ENST00000381042.4
ENSG00000007312.8,ENST00000392795.3
ENSG00000006007.7,ENST00000353258.3
ENSG00000007314.7,ENST00000435607.1
ENSG00000006695.6,ENST00000261643.3
ENSG00000006125.12,ENST00000312678.8
ENSG00000007908.11,ENST00000333360.7
ENSG00000006042.7,ENST00000579849.1
ENSG00000006432.11,ENST00000555993.2
ENSG00000005955.8,ENST00000304718.4
ENSG00000006459.6,ENST00000397560.2
ENSG00000007001.8,ENST00000605860.1
ENSG00000006634.3,ENST00000265728.1
ENSG00000006118.10,ENST00000005286.4
ENSG00000006047.8,ENST00000007699.5
ENSG00000006704.6,ENST00000455841.2
ENSG00000006744.14,ENST00000338034.4
ENSG00000006451.3,ENST00000005257.2
ENSG00000007237.14,ENST00000432992.2
ENSG00000006377.9,ENST00000518156.2
ENSG00000005981.8,ENST00000325885.5
ENSG00000007341.14,ENST00000358039.4
ENSG00000006606.4,ENST00000394905.2
ENSG00000006210.6,ENST00000006053.6
ENSG00000006453.9,ENST00000005260.8
ENSG00000006075.11,ENST00000225245.5
ENSG00000007541.10,ENST00000026218.5
ENSG00000006611.11,ENST00000005226.7
ENSG00000005812.6,ENST00000355619.5
ENSG00000006534.11,ENST00000539229.1
ENSG00000006747.10,ENST00000297029.5
ENSG00000007520.3,ENST00000007390.2
ENSG00000006625.13,ENST00000275428.4
ENSG00000006831.9,ENST00000357103.4
ENSG00000007171.12,ENST00000313735.6
ENSG00000006327.9,ENST00000326577.4
ENSG00000006468.9,ENST00000430479.1
ENSG00000006607.9,ENST00000264042.3
ENSG00000006756.11,ENST00000381154.1
ENSG00000007952.13,ENST00000372966.3
ENSG00000007350.12,ENST00000369915.3
ENSG00000006652.9,ENST00000403825.3
ENSG00000006530.11,ENST00000355413.4
ENSG00000006712.10,ENST00000221265.3
ENSG00000007545.11,ENST00000397412.3
ENSG00000006788.8,ENST00000418404.3
ENSG00000005882.7,ENST00000503176.1
ENSG00000007264.9,ENST00000395045.2
ENSG00000007080.6,ENST00000597436.1
ENSG00000006282.15,ENST00000006658.6
ENSG00000005483.15,ENST00000311117.3
ENSG00000005884.13,ENST00000007722.7
ENSG00000006659.8,ENST00000360675.3
ENSG00000007047.10,ENST00000262891.4
ENSG00000006116.3,ENST00000005284.3
ENSG00000006576.12,ENST00000416283.2
ENSG00000005810.13,ENST00000544440.2
ENSG00000005513.9,ENST00000293894.3
ENSG00000006128.7,ENST00000319273.5
ENSG00000007062.7,ENST00000510224.1
ENSG00000007255.6,ENST00000006275.4
ENSG00000006071.7,ENST00000389817.3
ENSG00000007216.10,ENST00000444914.3
ENSG00000007933.8,ENST00000367755.4
ENSG00000006283.13,ENST00000359106.5
ENSG00000006114.11,ENST00000339208.6
ENSG00000006062.9,ENST00000344686.2
ENSG00000007168.8,ENST00000397195.5
ENSG00000007129.13,ENST00000401445.2
ENSG00000007376.3,ENST00000561734.1
ENSG00000006740.12,ENST00000379672.5
ENSG00000007174.13,ENST00000262442.4
ENSG00000005801.12,ENST00000399602.4
ENSG00000006638.7,ENST00000411851.3
ENSG00000007516.9,ENST00000324385.5
ENSG00000006715.11,ENST00000310301.4
ENSG00000006555.6,ENST00000371276.4
ENSG00000007866.14,ENST00000338863.7
ENSG00000007923.11,ENST00000377577.5
ENSG00000006015.13,ENST00000358607.6
ENSG00000008323.11,ENST00000396988.3
ENSG00000011243.13,ENST00000397410.5
ENSG00000011405.9,ENST00000265970.7
ENSG00000009765.10,ENST00000229447.5
ENSG00000010017.9,ENST00000011619.3
ENSG00000008516.12,ENST00000336577.4
ENSG00000011260.9,ENST00000225298.7
ENSG00000008277.10,ENST00000265727.7
ENSG00000008283.11,ENST00000392976.1
ENSG00000010278.7,ENST00000382518.1
ENSG00000009724.12,ENST00000400897.3
ENSG00000010404.13,ENST00000340855.6
ENSG00000010803.12,ENST00000402904.2
ENSG00000008513.10,ENST00000319914.5
ENSG00000009954.6,ENST00000339594.4
ENSG00000009950.11,ENST00000313375.3
ENSG00000009335.13,ENST00000348165.5
ENSG00000008394.8,ENST00000396209.1
ENSG00000010072.11,ENST00000295050.7
ENSG00000011258.11,ENST00000586178.1
ENSG00000011275.14,ENST00000389902.3
ENSG00000010030.9,ENST00000340181.4
ENSG00000010165.15,ENST00000361735.3
ENSG00000010256.6,ENST00000203407.5
ENSG00000008735.10,ENST00000329492.3
ENSG00000010361.9,ENST00000313777.4
ENSG00000011021.17,ENST00000346436.6
ENSG00000011083.4,ENST00000230671.2
ENSG00000008853.12,ENST00000519685.1
ENSG00000008118.5,ENST00000009105.1
ENSG00000009307.11,ENST00000438362.2
ENSG00000008382.11,ENST00000262966.8
ENSG00000008018.8,ENST00000262193.6
ENSG00000011028.9,ENST00000303375.5
ENSG00000009780.11,ENST00000010299.6
ENSG00000008324.6,ENST00000447630.1
ENSG00000009844.11,ENST00000367630.4
ENSG00000008517.12,ENST00000525643.2
ENSG00000011105.7,ENST00000011898.5
ENSG00000010219.9,ENST00000540757.2
ENSG00000010295.15,ENST00000356896.4
ENSG00000010671.11,ENST00000308731.7
ENSG00000010438.12,ENST00000361005.5
ENSG00000008226.15,ENST00000308059.6
ENSG00000010626.10,ENST00000007969.8
ENSG00000010310.4,ENST00000590918.1
ENSG00000010932.11,ENST00000354841.4
ENSG00000010292.8,ENST00000315579.5
ENSG00000008197.4,ENST00000008391.3
ENSG00000010270.9,ENST00000009041.7
ENSG00000011376.5,ENST00000415258.1
ENSG00000009694.9,ENST00000422452.2
ENSG00000008282.3,ENST00000011473.2
ENSG00000011304.12,ENST00000356948.6
ENSG00000007968.6,ENST00000361729.2
ENSG00000008311.10,ENST00000393376.1
ENSG00000010244.12,ENST00000394670.4
ENSG00000008441.12,ENST00000397661.2
ENSG00000011132.7,ENST00000316757.3
ENSG00000011198.3,ENST00000458276.2
ENSG00000008128.18,ENST00000404249.3
ENSG00000011295.11,ENST00000261647.5
ENSG00000008130.11,ENST00000344463.4
ENSG00000011052.17,ENST00000393193.2
ENSG00000008056.8,ENST00000295987.7
ENSG00000008952.12,ENST00000337002.4
ENSG00000009830.7,ENST00000261534.4
ENSG00000008869.7,ENST00000233099.5
ENSG00000008086.6,ENST00000379989.3
ENSG00000008988.5,ENST00000519807.1
ENSG00000008710.13,ENST00000262304.4
ENSG00000011332.15,ENST00000355526.4
ENSG00000011143.12,ENST00000393119.2
ENSG00000010539.7,ENST00000431561.3
ENSG00000010327.6,ENST00000321725.6
ENSG00000008256.11,ENST00000350796.3
ENSG00000011114.10,ENST00000334746.5
ENSG00000008438.4,ENST00000008938.4
ENSG00000010319.2,ENST00000231721.2
ENSG00000011007.8,ENST00000418390.2
ENSG00000010704.14,ENST00000357618.5
ENSG00000009709.7,ENST00000375375.3
ENSG00000010322.11,ENST00000345716.4
ENSG00000010810.13,ENST00000354650.3
ENSG00000010318.15,ENST00000327906.3
ENSG00000010610.5,ENST00000011653.4
ENSG00000011009.6,ENST00000374514.3
ENSG00000009790.10,ENST00000367024.1
ENSG00000008294.16,ENST00000262013.7
ENSG00000008300.10,ENST00000164024.4
ENSG00000008196.8,ENST00000393655.3
ENSG00000008838.13,ENST00000394128.2
ENSG00000008083.9,ENST00000341776.2
ENSG00000011347.5,ENST00000540677.1
ENSG00000010379.11,ENST00000343164.4
ENSG00000008405.7,ENST00000008527.5
ENSG00000009413.11,ENST00000358835.3
ENSG00000011201.6,ENST00000262648.3
ENSG00000010282.10,ENST00000441594.1
ENSG00000010818.4,ENST00000367603.2
ENSG00000015520.10,ENST00000289547.4
ENSG00000012223.8,ENST00000231751.4
ENSG00000013392.6,ENST00000369724.4
ENSG00000011677.8,ENST00000370314.4
ENSG00000016082.10,ENST00000230658.7
ENSG00000011422.7,ENST00000340093.3
ENSG00000013619.9,ENST00000432680.2
ENSG00000014257.11,ENST00000351273.7
ENSG00000012174.7,ENST00000379484.5
ENSG00000019485.8,ENST00000424263.2
ENSG00000013288.4,ENST00000285599.3
ENSG00000015413.5,ENST00000393092.3
ENSG00000012817.11,ENST00000317961.4
ENSG00000013810.14,ENST00000313288.4
ENSG00000014919.8,ENST00000016171.5
ENSG00000016391.6,ENST00000315251.6
ENSG00000016490.11,ENST00000234701.3
ENSG00000015676.13,ENST00000355451.7
ENSG00000012963.9,ENST00000013070.6
ENSG00000015475.14,ENST00000317361.7
ENSG00000011478.7,ENST00000012049.5
ENSG00000015479.13,ENST00000394805.3
ENSG00000012171.13,ENST00000456210.1
ENSG00000019505.3,ENST00000020926.3
ENSG00000012822.11,ENST00000550804.1
ENSG00000011426.6,ENST00000265748.2
ENSG00000015285.6,ENST00000376701.4
ENSG00000015171.14,ENST00000397962.3
ENSG00000013016.10,ENST00000322054.5
ENSG00000015592.12,ENST00000350889.4
ENSG00000018510.8,ENST00000264167.4
ENSG00000013725.10,ENST00000313421.7
ENSG00000017483.10,ENST00000376876.3
ENSG00000013306.11,ENST00000377095.5
ENSG00000012232.4,ENST00000220562.4
ENSG00000019169.9,ENST00000327097.4
ENSG00000013297.6,ENST00000064724.3
ENSG00000012124.10,ENST00000085219.5
ENSG00000014824.9,ENST00000264451.7
ENSG00000017373.11,ENST00000264659.7
ENSG00000018699.7,ENST00000317907.4
ENSG00000015133.14,ENST00000389857.6
ENSG00000019582.10,ENST00000009530.7
ENSG00000018236.10,ENST00000551295.2
ENSG00000016864.12,ENST00000407584.3
ENSG00000012983.7,ENST00000013125.4
ENSG00000013573.12,ENST00000407793.2
ENSG00000012660.9,ENST00000541407.1
ENSG00000017260.15,ENST00000393221.4
ENSG00000013364.14,ENST00000357402.5
ENSG00000013275.3,ENST00000157812.2
ENSG00000019549.4,ENST00000396822.1
ENSG00000012048.15,ENST00000471181.2
ENSG00000013503.5,ENST00000228347.4
ENSG00000011590.9,ENST00000392197.2
ENSG00000011566.10,ENST00000263881.3
ENSG00000017797.7,ENST00000019317.4
ENSG00000014164.6,ENST00000262577.5
ENSG00000012504.9,ENST00000551379.1
ENSG00000014216.11,ENST00000527323.1
ENSG00000019186.5,ENST00000216862.3
ENSG00000018869.12,ENST00000301310.4
ENSG00000019144.12,ENST00000361417.2
ENSG00000018408.10,ENST00000465804.1
ENSG00000016602.8,ENST00000370563.3
ENSG00000017621.11,ENST00000412696.2
ENSG00000018607.5,ENST00000438300.1
ENSG00000018280.12,ENST00000233202.6
ENSG00000012061.11,ENST00000013807.5
ENSG00000014123.9,ENST00000369278.4
ENSG00000018610.9,ENST00000371594.4
ENSG00000017427.11,ENST00000307046.8
ENSG00000013523.5,ENST00000251089.2
ENSG00000011523.9,ENST00000377990.2
ENSG00000011465.12,ENST00000052754.5
ENSG00000011454.12,ENST00000373647.4
ENSG00000013561.13,ENST00000394520.2
ENSG00000013563.9,ENST00000369809.1
ENSG00000011451.13,ENST00000263381.7
ENSG00000014641.13,ENST00000539945.1
ENSG00000015568.8,ENST00000016946.3
ENSG00000013375.11,ENST00000506587.1
ENSG00000015532.5,ENST00000017003.2
ENSG00000018625.10,ENST00000361216.3
ENSG00000012211.8,ENST00000376317.3
ENSG00000018189.8,ENST00000381006.3
ENSG00000013374.11,ENST00000568733.1
ENSG00000019102.7,ENST00000326621.5
ENSG00000014914.15,ENST00000439741.2
ENSG00000011638.6,ENST00000233047.4
ENSG00000012779.6,ENST00000374391.2
ENSG00000014138.4,ENST00000265465.3
ENSG00000016402.8,ENST00000316649.5
ENSG00000015153.10,ENST00000442791.3
ENSG00000013293.5,ENST00000231706.5
ENSG00000013588.5,ENST00000014914.5
ENSG00000013583.4,ENST00000014930.4
ENSG00000011485.10,ENST00000012443.4
ENSG00000011600.7,ENST00000262629.4
ENSG00000013441.11,ENST00000434813.2
ENSG00000021488.8,ENST00000023064.4
ENSG00000025156.8,ENST00000368455.4
ENSG00000029559.5,ENST00000226284.5
ENSG00000023839.6,ENST00000370449.4
ENSG00000024422.7,ENST00000263277.3
ENSG00000028116.12,ENST00000435505.2
ENSG00000029993.10,ENST00000325307.7
ENSG00000026559.9,ENST00000371571.4
ENSG00000024862.12,ENST00000332797.6
ENSG00000030110.8,ENST00000374467.3
ENSG00000024048.6,ENST00000372899.1
ENSG00000027644.4,ENST00000368195.3
ENSG00000020129.11,ENST00000373243.2
ENSG00000026751.12,ENST00000368043.3
ENSG00000028528.10,ENST00000261889.5
ENSG00000021762.15,ENST00000263650.7
ENSG00000025708.8,ENST00000395681.1
ENSG00000030419.12,ENST00000457361.1
ENSG00000023697.8,ENST00000428559.2
ENSG00000029534.15,ENST00000265709.8
ENSG00000021852.8,ENST00000371237.4
ENSG00000023191.12,ENST00000534797.1
ENSG00000031544.10,ENST00000398840.2
ENSG00000023516.7,ENST00000025301.2
ENSG00000031823.10,ENST00000340578.6
ENSG00000028277.16,ENST00000526816.2
ENSG00000023734.6,ENST00000419869.2
ENSG00000027697.8,ENST00000367739.4
ENSG00000020219.8,ENST00000465400.1
ENSG00000026025.9,ENST00000544301.1
ENSG00000029363.11,ENST00000531224.1
ENSG00000020922.8,ENST00000323929.3
ENSG00000022840.11,ENST00000325954.4
ENSG00000031698.8,ENST00000234677.2
ENSG00000025772.7,ENST00000372813.3
ENSG00000027847.9,ENST00000029410.5
ENSG00000023902.9,ENST00000369124.4
ENSG00000031003.6,ENST00000033079.3
ENSG00000025800.9,ENST00000373625.3
ENSG00000020633.14,ENST00000399916.1
ENSG00000023892.9,ENST00000316637.5
ENSG00000021355.8,ENST00000380739.5
ENSG00000021826.10,ENST00000430249.2
ENSG00000026297.11,ENST00000508775.1
ENSG00000023608.4,ENST00000216294.4
ENSG00000023318.7,ENST00000262455.6
ENSG00000030066.9,ENST00000378460.2
ENSG00000026508.12,ENST00000428726.2
ENSG00000024526.12,ENST00000456315.2
ENSG00000027001.7,ENST00000382172.3
ENSG00000020577.9,ENST00000392067.3
ENSG00000021574.7,ENST00000315285.3
ENSG00000021300.9,ENST00000354190.5
ENSG00000020181.13,ENST00000412232.2
ENSG00000028839.5,ENST00000237264.4
ENSG00000019995.6,ENST00000359653.4
ENSG00000022567.5,ENST00000024061.3
ENSG00000025796.9,ENST00000369002.4
ENSG00000022267.12,ENST00000394155.2
ENSG00000023041.7,ENST00000369405.3
ENSG00000023330.10,ENST00000394965.2
ENSG00000029153.10,ENST00000266503.5
ENSG00000022277.8,ENST00000023939.4
ENSG00000026950.12,ENST00000289361.6
ENSG00000021461.12,ENST00000222382.5
ENSG00000021645.13,ENST00000554719.1
ENSG00000020426.6,ENST00000261245.4
ENSG00000029364.7,ENST00000336643.5
ENSG00000028203.13,ENST00000436874.1
ENSG00000022556.11,ENST00000543010.1
ENSG00000019991.11,ENST00000222390.5
ENSG00000030304.8,ENST00000374448.4
ENSG00000023909.5,ENST00000370238.3
ENSG00000028137.12,ENST00000376259.3
ENSG00000029639.6,ENST00000367166.4
ENSG00000023572.4,ENST00000367440.3
ENSG00000026103.15,ENST00000355740.2
ENSG00000022976.11,ENST00000442396.2
ENSG00000027869.7,ENST00000392306.2
ENSG00000029725.12,ENST00000262477.6
ENSG00000023445.9,ENST00000263464.3
ENSG00000031691.6,ENST00000335783.3
ENSG00000025770.14,ENST00000299821.11
ENSG00000021776.6,ENST00000156471.5
ENSG00000030582.12,ENST00000053867.3
ENSG00000022355.10,ENST00000428797.2
ENSG00000025423.7,ENST00000554643.1
ENSG00000020256.15,ENST00000216923.4
ENSG00000026036.16,ENST00000482936.1
ENSG00000032219.14,ENST00000355431.3
ENSG00000025293.11,ENST00000374012.3
ENSG00000031081.6,ENST00000264245.4
ENSG00000026652.9,ENST00000320285.4
ENSG00000025434.14,ENST00000467728.1
ENSG00000025039.10,ENST00000369415.4
ENSG00000023171.10,ENST00000529750.1
ENSG00000023228.9,ENST00000455934.2
ENSG00000028310.13,ENST00000467963.1
ENSG00000023287.8,ENST00000025008.5
ENSG00000027075.9,ENST00000332981.5
ENSG00000040933.11,ENST00000074304.5
ENSG00000036473.6,ENST00000039007.4
ENSG00000039139.9,ENST00000265104.4
ENSG00000041988.11,ENST00000054650.4
ENSG00000041802.6,ENST00000265245.5
ENSG00000042317.12,ENST00000393545.4
ENSG00000038274.12,ENST00000321757.6
ENSG00000033011.7,ENST00000262374.5
ENSG00000041357.11,ENST00000044462.7
ENSG00000039560.9,ENST00000515799.1
ENSG00000036565.10,ENST00000440926.1
ENSG00000039068.14,ENST00000261769.5
ENSG00000037897.12,ENST00000324871.7
ENSG00000033178.8,ENST00000322244.5
ENSG00000039319.12,ENST00000338008.5
ENSG00000036672.11,ENST00000260187.2
ENSG00000037757.9,ENST00000040663.6
ENSG00000042781.8,ENST00000307340.3
ENSG00000039537.9,ENST00000263413.3
ENSG00000040275.12,ENST00000265295.4
ENSG00000035499.8,ENST00000265036.5
ENSG00000036828.9,ENST00000498619.1
ENSG00000033100.10,ENST00000035307.2
ENSG00000037241.3,ENST00000521476.1
ENSG00000032742.13,ENST00000319980.6
ENSG00000036549.8,ENST00000370801.3
ENSG00000038945.10,ENST00000262101.5
ENSG00000034239.6,ENST00000262103.3
ENSG00000037280.11,ENST00000261937.6
ENSG00000034063.9,ENST00000592666.1
ENSG00000041353.5,ENST00000262094.5
ENSG00000040633.8,ENST00000320316.3
ENSG00000040341.13,ENST00000524300.1
ENSG00000035664.7,ENST00000261891.3
ENSG00000036257.8,ENST00000264414.4
ENSG00000039523.13,ENST00000422602.2
ENSG00000032389.8,ENST00000382125.4
ENSG00000035115.17,ENST00000356150.5
ENSG00000042429.6,ENST00000251871.3
ENSG00000034510.4,ENST00000233143.4
ENSG00000032444.11,ENST00000414982.3
ENSG00000038210.9,ENST00000264864.6
ENSG00000033800.9,ENST00000249636.6
ENSG00000033170.12,ENST00000360689.5
ENSG00000038427.11,ENST00000265077.3
ENSG00000042062.7,ENST00000327979.2
ENSG00000042088.9,ENST00000335725.4
ENSG00000042832.7,ENST00000220616.4
ENSG00000041880.10,ENST00000398755.3
ENSG00000033050.3,ENST00000222388.2
ENSG00000035681.3,ENST00000427130.2
ENSG00000036054.8,ENST00000394144.4
ENSG00000035928.10,ENST00000381897.1
ENSG00000042813.3,ENST00000046087.2
ENSG00000040199.14,ENST00000568954.1
ENSG00000034677.7,ENST00000519449.1
ENSG00000037749.7,ENST00000436816.1
ENSG00000038382.13,ENST00000344204.4
ENSG00000034533.7,ENST00000264992.3
ENSG00000042304.6,ENST00000264387.4
ENSG00000038532.10,ENST00000409790.1
ENSG00000036530.4,ENST00000261835.3
ENSG00000037474.10,ENST00000264670.6
ENSG00000041982.10,ENST00000350763.4
ENSG00000039123.11,ENST00000230640.5
ENSG00000042493.11,ENST00000263867.4
ENSG00000033327.8,ENST00000361507.4
ENSG00000033122.14,ENST00000035383.5
ENSG00000033627.10,ENST00000264649.6
ENSG00000037965.4,ENST00000040584.4
ENSG00000037042.8,ENST00000251412.7
ENSG00000040731.6,ENST00000264463.4
ENSG00000033867.12,ENST00000295736.5
ENSG00000040531.10,ENST00000381870.3
ENSG00000037637.6,ENST00000375592.3
ENSG00000039600.6,ENST00000265007.6
ENSG00000034053.10,ENST00000558402.1
ENSG00000039650.5,ENST00000322344.3
ENSG00000035862.8,ENST00000262768.7
ENSG00000034152.14,ENST00000342679.4
ENSG00000038295.3,ENST00000061240.2
ENSG00000042445.9,ENST00000295802.4
ENSG00000035141.3,ENST00000037869.3
ENSG00000036448.5,ENST00000262113.4
ENSG00000038358.10,ENST00000358933.5
ENSG00000035403.12,ENST00000211998.4
ENSG00000033030.9,ENST00000336229.4
ENSG00000042286.10,ENST00000307864.1
ENSG00000039987.2,ENST00000549706.1
ENSG00000040487.8,ENST00000375153.3
ENSG00000034971.10,ENST00000037502.6
ENSG00000038219.8,ENST00000040738.5
ENSG00000041515.11,ENST00000356711.2
ENSG00000038002.4,ENST00000264595.2
ENSG00000035720.3,ENST00000265404.2
ENSG00000034713.3,ENST00000037243.2
ENSG00000035687.9,ENST00000366535.3
ENSG00000040608.9,ENST00000043402.7
ENSG00000034693.10,ENST00000367591.4
ENSG00000042753.7,ENST00000263270.6
ENSG00000050393.7,ENST00000379170.4
ENSG00000049319.2,ENST00000405650.1
ENSG00000047249.12,ENST00000359530.2
ENSG00000048828.12,ENST00000277165.6
ENSG00000047617.10,ENST00000327087.8
ENSG00000048707.9,ENST00000358136.3
ENSG00000047849.17,ENST00000360240.6
ENSG00000049192.10,ENST00000381055.3
ENSG00000050438.12,ENST00000453097.2
ENSG00000049449.4,ENST00000054950.3
ENSG00000051128.14,ENST00000539827.1
ENSG00000043093.9,ENST00000292782.4
ENSG00000049247.9,ENST00000054668.5
ENSG00000044090.4,ENST00000535468.1
ENSG00000043355.6,ENST00000376335.3
ENSG00000046604.8,ENST00000261590.8
ENSG00000050344.8,ENST00000056233.3
ENSG00000049323.11,ENST00000404816.2
ENSG00000047634.10,ENST00000380041.3
ENSG00000051009.6,ENST00000265978.4
ENSG00000048342.11,ENST00000424120.1
ENSG00000047056.10,ENST00000358220.1
ENSG00000048405.5,ENST00000393313.1
ENSG00000048740.13,ENST00000450189.1
ENSG00000047346.8,ENST00000261844.7
ENSG00000046774.9,ENST00000247452.3
ENSG00000046651.10,ENST00000340096.6
ENSG00000047315.10,ENST00000381227.1
ENSG00000049245.8,ENST00000054666.6
ENSG00000044574.7,ENST00000324460.6
ENSG00000050748.13,ENST00000452135.2
ENSG00000044524.6,ENST00000336596.2
ENSG00000047648.17,ENST00000337414.4
ENSG00000050405.9,ENST00000394943.3
ENSG00000050628.16,ENST00000356595.4
ENSG00000050555.13,ENST00000361069.4
ENSG00000049283.13,ENST00000268933.3
ENSG00000048545.9,ENST00000394237.1
ENSG00000050426.11,ENST00000418425.2
ENSG00000047457.9,ENST00000264613.6
ENSG00000044459.10,ENST00000380647.3
ENSG00000050730.11,ENST00000509841.1
ENSG00000050327.10,ENST00000056217.5
ENSG00000049768.10,ENST00000376207.4
ENSG00000048649.9,ENST00000308488.6
ENSG00000050030.9,ENST00000055682.6
ENSG00000050820.12,ENST00000418647.3
ENSG00000047230.10,ENST00000443824.1
ENSG00000047578.8,ENST00000261588.4
ENSG00000050767.11,ENST00000390654.3
ENSG00000049759.12,ENST00000400345.3
ENSG00000047932.9,ENST00000368498.2
ENSG00000047936.6,ENST00000368508.3
ENSG00000047644.13,ENST00000380861.4
ENSG00000043514.11,ENST00000316891.5
ENSG00000048392.7,ENST00000251810.3
ENSG00000048140.13,ENST00000310032.8
ENSG00000047365.7,ENST00000303965.4
ENSG00000047579.15,ENST00000344537.5
ENSG00000049541.6,ENST00000055077.3
ENSG00000048162.15,ENST00000510123.1
ENSG00000047410.9,ENST00000367478.4
ENSG00000048540.10,ENST00000540445.1
ENSG00000046653.10,ENST00000316715.4
ENSG00000044115.16,ENST00000302763.7
